ACTUALNAME,DESTINATIONLOOKUP
LOPUDI,LOPUDI
MADDI,MADDI
MADDI ROAD,MADDI ROAD
MADDILAPALEM (SAI RAM HOTEL),MADDILAPALEM DEPOT
MADDILAPALEM DEPOT,MADDILAPALEM DEPOT
MADHAVADHARA,MADHAVADHARA
MADHAVADHARA (NEAR SREE KANAKA DURGA FUNCTION HALL),MADHAVADHARA
MADHURAWADA DEPOT,MADHURWADA
MADHURAWADA DEPOT,MADHURAWADA DEPOT
MADHURWADA,MADHURWADA
MADHURWADA JUNCTION,MADHURWADA
MADHURWADA JUNCTION,MADHURWADA JUNCTION
MADHUSUDANA NAGAR,MADHUSUDANA NAGAR
MADUGULA,MADUGULA
MAHARAJUPETA JUNCTION,MAHARAJUPETA JUNCTION
MAHARANI PETA,MAHARANI PETA
MAHATI ENGLISH MEDIUM SCHOOL BUS STOP,PAVANI MEDICALS
MAHATI ENGLISH MEDIUM SCHOOL BUS STOP,MAHATI ENGLISH MEDIUM SCHOOL BUS STOP
MAJJIVALASA,MAJJIVALASA
MALAPALLI JUNCTION,MALAPALLI JUNCTION
MALKAPURAM,MALKAPURAM
MALLINAIDU PALEM,MALLINAIDU PALEM
MAMIDILOVA,SONTYAM
MAMIDILOVA,MAMIDILOVA
MANCHALA VILLAGE,MANCHALA VILLAGE
MANGALAPALEM,MANGALAPALEM
MANGALAPALEM HIGHWAY,MANGALAPALEM
MANGAMARI PETA,MANGAMARI PETA
MARIKAVALASA,MARIKAVALASA
MARIKAVALASA HIGHWAY,MARIKAVALASA
MARRIPALEM (104 AREA),MARRIPALEM (104 AREA)
MARRIPALEM (GALI BHEEMAVARAM),MARRIPALEM (GALI BHEEMAVARAM)
MARRIPALEM (NEAR POTHALA CHERUVU),MARRIPALEM (NEAR POTHALA CHERUVU)
MASJID,MASJID
MEDIVADA VILLAGE,MEDIVADA VILLAGE
MENTAL HOSPITAL,MENTAL HOSPITAL
METTAPALEM,METTAPALEM
MINDI,MINDI
MINDIVANI PALEM,MINDIVANI PALEM
MISSIONARY SCHOOL (KOMMADI),MISSIONARY SCHOOL (KOMMADI)
MITHILAPURI VUDA COLONY,MITHILAPURI VUDA COLONY
MMTC,HB COLONY POST OFFICE
MMTC,MMTC
MODHAVALASA,MODHAVALASA
MOGALIPURAM,MOGALIPURAM
MOOLAPETA,MOOLAPETA
MOPADA,MOPADA
MUDASARLOVA,MUDASARLOVA
MULAGAPUDI,MULAGAPUDI
MUNAGAPAAKA,MUNAGAPAAKA
MUNICIPAL STADIUM (PATA BUS STAND),MUNICIPAL STADIUM (PATA BUS STAND)
MURALINAGAR (BURMA COLONY),MURALINAGAR (BURMA COLONY)
MURALINAGAR (NEHRU NAGAR),MURALINAGAR (NEHRU NAGAR)
MUSIRAM,MUSIRAM
MUTCHERLA,MUTCHERLA
MVP BUS DEPOT (RYTHU BAZAAR),MVP BUS DEPOT
MVP CIRCLE,MVP CIRCLE
MVP COLONY (VIJAYA HOSPITALS),MVP COLONY (VIJAYA HOSPITALS)
MVP COLONY BUS DEPOT (MUVVALAVANIPALEM (DEPOT)),MVP BUS DEPOT
MVP GOTHISONS,MVP GOTHISONS
NAAMAVARAM,NAAMAVARAM
NAD,NAD
NADUPURU,NADUPURU
NADUPURU DAIRY COLONY,NADUPURU
NAGARAPALEM,NAGARAPALEM
NAIDU THOTA,NAIDU THOTA
NAIDU THOTA JUNCTION,NAIDU THOTA JUNCTION
NAIDUPALEM,NAIDUPALEM
NAKKAPALLI BUS STATION,NAKKAPALLI BUS STATION
NALLABILLI,JAMMI DEVARA PETA
NALLABILLI,NALLABILLI
NAMMIDODDI JUNCTION,NAMMIDODDI JUNCTION
NARAPADU,NARAPADU
NARAPAM (DEVADA RD),NARAPAM (DEVADA RD)
NARAYANAPURAM,NARAYANAPURAM
NARSIPATNAM - RTC COMPLEX,NARSIPATNAM - RTC COMPLEX
NARSIPATNAM BUS DEPOT,NARSIPATNAM - RTC COMPLEX
NATHAYYAPALEM,NATHAYYAPALEM
NATHAYYAPALEM HIGHWAY,NATHAYYAPALEM
NAUSANA BAUGH ENTRANCE,NAUSENA BAUGH
NAUSENA BAUGH,NAUSENA BAUGH
NDV,DOCKYARD
NDV,NDV
NEELAKANTARAJAPURAM,NEELAKANTARAJAPURAM
NEELAKUNDEELU,NEELAKUNDEELU
NEW GAJUWAKA,NEW GAJUWAKA
NEW GAJUWAKA MARKET,NEW GAJUWAKA
NEW GAJUWAKA THEATRES,NEW GAJUWAKA
NGGO COLONY,NGGO COLONY
NOOKALAMMA TEMPLE,NOOKALAMMA TEMPLE
NOOKALAMMA TEMPLE,NOOKALAMMA TEMPLE  (RYTHU BAZAAR)
